input,instuction,output
"Berdasarkan RKP 2025 target rasio gini di provinsi Papua Barat adalah 0,370 - 0,380.",Berapa target Rasio Gini di Provinsi Papua Barat?,"0,370 - 0,380"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Papua Barat adalah 1,08%.",Berapa target Intensitas Emisi GRK di Provinsi Papua Barat?,"1,08%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) provinsi Papua Tengah adalah 6,17% - 6,87%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Provinsi Papua Tengah?,"6,17% - 6,87%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Papua Tengah adalah 26,50% - 27,00%.",Berapa target persentase kemiskinan di Provinsi Papua Tengah?,"26,50% - 27,00%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Papua Tengah adalah 1,75% - 2,10%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Papua Tengah?,"1,75% - 2,10%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Papua Tengah adalah 0,43.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Papua Tengah?,"0,43"
"Berdasarkan RKP 2025 target rasio gini di provinsi Papua Tengah adalah 0,380 - 0,383.",Berapa target Rasio Gini di Provinsi Papua Tengah?,"0,380 - 0,383"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Papua Tengah adalah 59,28%.",Berapa target Intensitas Emisi GRK di Provinsi Papua Tengah?,"59,28%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) provinsi Papua Pegunungan adalah 4,87% - 5,38%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Provinsi Papua Pegunungan?,"4,87% - 5,38%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Papua Pegunungan adalah 30,00% - 31,00%.",Berapa target persentase kemiskinan di Provinsi Papua Pegunungan?,"30,00% - 31,00%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Papua Pegunungan adalah 0,84% - 1,00%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Papua Pegunungan?,"0,84% - 1,00%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Papua Pegunungan adalah 0,42.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Papua Pegunungan?,"0,42"
"Berdasarkan RKP 2025 target rasio gini di provinsi Papua Pegunungan adalah 0,377 - 0,383.",Berapa target Rasio Gini di Provinsi Papua Pegunungan?,"0,377 - 0,383"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Papua Pegunungan adalah 59,28%.",Berapa target Intensitas Emisi GRK di Provinsi Papua Pegunungan?,"59,28%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) provinsi Papua Selatan adalah 4,91% - 5,3%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Provinsi Papua Selatan?,"4,91% - 5,3%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Papua Selatan adalah 16,50% - 17,00%.",Berapa target persentase kemiskinan di Provinsi Papua Selatan?,"16,50% - 17,00%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Papua Selatan adalah 2,65% - 3,12%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Papua Selatan?,"2,65% - 3,12%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Papua Selatan adalah 0,44.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Papua Selatan?,"0,44"
"Berdasarkan RKP 2025 target rasio gini di provinsi Papua Selatan adalah 0,372.",Berapa target Rasio Gini di Provinsi Papua Selatan?,"0,372"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Papua Selatan adalah 59,00%.",Berapa target Intensitas Emisi GRK di Provinsi Papua Selatan?,"59,00%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) di provinsi Papua Barat Daya adalah 3,7% - 4,5%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) di Provinsi Papua Barat Daya?,"3,7% - 4,5%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Papua Barat Daya adalah 17,60% - 18,00%.",Berapa target persentase kemiskinan di Provinsi Papua Barat Daya?,"17,60% - 18,00%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Papua Barat Daya adalah 6,00% - 6,40%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Papua Barat Daya?,"6,00% - 6,40%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Papua Barat Daya adalah 0,47.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Papua Barat Daya?,"0,47"
"Berdasarkan RKP 2025 target rasio gini di provinsi Papua Barat Daya adalah 0,300.",Berapa target Rasio Gini di Provinsi Papua Barat Daya?,"0,300"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Papua Barat Daya adalah 1,08%.",Berapa target Intensitas Emisi GRK di Provinsi Papua Barat Daya?,"1,08%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) di provinsi Bengkulu pada 2025 adalah 4,55% - 4,86%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) di Provinsi Bengkulu pada 2025?,"4,55% - 4,86%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Bengkulu pada 2025 adalah 13,1% - 13,6%.",Berapa target persentase kemiskinan di Provinsi Bengkulu pada 2025?,"13,1% - 13,6%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Bengkulu pada 2025 adalah 3,30% - 3,41%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Bengkulu pada 2025?,"3,30% - 3,41%"
"Berdasarkan RKP 2025 target indeks modal manusia (IMM) di provinsi Bengkulu pada 2025 adalah 0,53.",Berapa target Indeks Modal Manusia (IMM) di Provinsi Bengkulu pada 2025?,"0,53"
"Berdasarkan RKP 2025 target rasio gini di provinsi Bengkulu pada 2025 adalah 0,327 - 0,332.",Berapa target Rasio Gini di Provinsi Bengkulu pada 2025?,"0,327 - 0,332"
"Berdasarkan RKP 2025 target intensitas emisi gas rumah kaca (GRK) di provinsi Bengkulu pada 2025 adalah 57,74.",Berapa target Intensitas Emisi Gas Rumah Kaca (GRK) di Provinsi Bengkulu pada 2025?,"57,74"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) di provinsi Lampung pada 2025 adalah 4,90% - 5,30%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) di Provinsi Lampung pada 2025?,"4,90% - 5,30%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Lampung pada 2025 adalah 9,50% - 10,00%.",Berapa target persentase kemiskinan di Provinsi Lampung pada 2025?,"9,50% - 10,00%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Lampung pada 2025 adalah 3,86% - 4,00%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Lampung pada 2025?,"3,86% - 4,00%"
"Berdasarkan RKP 2025 target indeks modal manusia (IMM) di provinsi Lampung pada 2025 adalah 0,54.",Berapa target Indeks Modal Manusia (IMM) di Provinsi Lampung pada 2025?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di provinsi Lampung pada 2025 adalah 0,318 - 0,321.",Berapa target Rasio Gini di Provinsi Lampung pada 2025?,"0,318 - 0,321"
"Berdasarkan RKP 2025 target intensitas emisi gas rumah kaca (GRK) di provinsi Lampung pada 2025 adalah 62,79.",Berapa target Intensitas Emisi Gas Rumah Kaca (GRK) di Provinsi Lampung pada 2025?,"62,79"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) di provinsi Kepulauan Bangka Belitung pada 2025 adalah 4,46% - 5,10%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) di Provinsi Kepulauan Bangka Belitung pada 2025?,"4,46% - 5,10%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Kepulauan Bangka Belitung pada 2025 adalah 2,92% - 3,92%.",Berapa target persentase kemiskinan di Provinsi Kepulauan Bangka Belitung pada 2025?,"2,92% - 3,92%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Kepulauan Bangka Belitung pada 2025 adalah 3,98% - 4,33%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Kepulauan Bangka Belitung pada 2025?,"3,98% - 4,33%"
"Berdasarkan RKP 2025 target indeks modal manusia (IMM) di provinsi Kepulauan Bangka Belitung pada 2025 adalah 0,54.",Berapa target Indeks Modal Manusia (IMM) di Provinsi Kepulauan Bangka Belitung pada 2025?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di provinsi Kepulauan Bangka Belitung pada 2025 adalah 0,239 - 0,242.",Berapa target Rasio Gini di Provinsi Kepulauan Bangka Belitung pada 2025?,"0,239 - 0,242"
"Berdasarkan RKP 2025 target intensitas emisi gas rumah kaca (GRK) di provinsi Kepulauan Bangka Belitung pada 2025 adalah 54,55.",Berapa target Intensitas Emisi Gas Rumah Kaca (GRK) di Provinsi Kepulauan Bangka Belitung pada 2025?,"54,55"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) di provinsi kepulauan Riau pada 2025 adalah 5,25% - 5,53%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) di Provinsi Kepulauan Riau pada 2025?,"5,25% - 5,53%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi kepulauan Riau pada 2025 adalah 4,4% - 4,9%.",Berapa target persentase kemiskinan di Provinsi Kepulauan Riau pada 2025?,"4,4% - 4,9%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi kepulauan Riau pada 2025 adalah 6,08% - 6,47%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Kepulauan Riau pada 2025?,"6,08% - 6,47%"
"Berdasarkan RKP 2025 target indeks modal manusia (IMM) di provinsi kepulauan Riau pada 2025 adalah 0,60.",Berapa target Indeks Modal Manusia (IMM) di Provinsi Kepulauan Riau pada 2025?,"0,60"
"Berdasarkan RKP 2025 target rasio gini di provinsi kepulauan Riau pada 2025 adalah 0,321 - 0,334.",Berapa target Rasio Gini di Provinsi Kepulauan Riau pada 2025?,"0,321 - 0,334"
"Berdasarkan RKP 2025 target intensitas emisi gas rumah kaca (GRK) di provinsi kepulauan Riau pada 2025 adalah 1,00.",Berapa target Intensitas Emisi Gas Rumah Kaca (GRK) di Provinsi Kepulauan Riau pada 2025?,"1,00"
"Berdasarkan RKP 2025 target Laju Pertumbuhan Ekonomi (LPE) Aceh tahun 2025 adalah 4,28% - 4,51%",Berapa target Laju Pertumbuhan Ekonomi (LPE) Aceh tahun 2025?,"4,28% - 4,51%"
Berdasarkan RKP 2025  target Persentase Kemiskinan Aceh tahun 2025 adalah 12% - 13%,Berapa target Persentase Kemiskinan Aceh tahun 2025?,12% - 13%
"Berdasarkan RKP 2025 target Tingkat Pengangguran Terbuka (TPT) Aceh tahun 2025 adalah 4,60% - 5,28%",Berapa target Tingkat Pengangguran Terbuka (TPT) Aceh tahun 2025?,"4,60% - 5,28%"
"Berdasarkan RKP 2025  target Indeks Modal Manusia (IMM) Aceh tahun 2025 adalah 0,55",Berapa target Indeks Modal Manusia (IMM) Aceh tahun 2025?,"0,55"
"Berdasarkan RKP 2025 target berapa target rasio gini aceh tahun 2025 adalah 0,290 - 0,293.",Berapa target Rasio Gini Aceh tahun 2025?,"0,290 - 0,293"
"Berdasarkan RKP 2025 target berapa target intensitas emisi gas rumah kaca (GRK) aceh tahun 2025 adalah 36,08.",Berapa target Intensitas Emisi Gas Rumah Kaca (GRK) Aceh tahun 2025?,"36,08"
"Berdasarkan RKP 2025 target apa target laju pertumbuhan ekonomi (LPE) Sumatra Utara pada tahun 2025 adalah 5,2 - 5,4.",Apa target laju pertumbuhan ekonomi (LPE) Sumatra Utara pada tahun 2025?,"5,2 - 5,4"
"Berdasarkan RKP 2025 target berapa persentase kemiskinan yang ditargetkan di Sumatra Utara pada tahun 2025 adalah 6,96 - 7,46.",Berapa persentase kemiskinan yang ditargetkan di Sumatra Utara pada tahun 2025?,"6,96% - 7,46%"
"Berdasarkan RKP 2025 target apa target tingkat pengangguran terbuka (TPT) Sumatra Utara pada tahun 2025 adalah 5,27 - 5,56.",Apa target tingkat pengangguran terbuka (TPT) Sumatra Utara pada tahun 2025?,"5,27% - 5,56%"
"Berdasarkan RKP 2025 target berapa target indeks modal manusia (IMM) Sumatra Utara pada tahun 2025 adalah 0,53.",Berapa target indeks modal manusia (IMM) Sumatra Utara pada tahun 2025?,"0,53"
"Berdasarkan RKP 2025 target berapa target rasio gini di Sumatra Utara pada tahun 2025 adalah 0,303 - 0,305.",Berapa target rasio Gini di Sumatra Utara pada tahun 2025?,"0,303 - 0,305"
"Berdasarkan RKP 2025 target apa target intensitas emisi gas rumah kaca (GRK) di Sumatra Utara pada tahun 2025 adalah 1,00.",Apa target intensitas emisi gas rumah kaca (GRK) di Sumatra Utara pada tahun 2025?,"1,00"
"Berdasarkan RKP 2025 target apa target laju pertumbuhan ekonomi (LPE) Sumatra Barat pada tahun 2025 adalah 4,69 - 5,19.",Apa target laju pertumbuhan ekonomi (LPE) Sumatra Barat pada tahun 2025?,"4,69% - 5,19%"
"Berdasarkan RKP 2025 target berapa persentase kemiskinan yang ditargetkan di Sumatra Barat pada tahun 2025 adalah 4,50 - 5,10.",Berapa persentase kemiskinan yang ditargetkan di Sumatra Barat pada tahun 2025?,"4,50% - 5,10%"
"Berdasarkan RKP 2025 target apa target tingkat pengangguran terbuka (TPT) Sumatra Barat pada tahun 2025 adalah 5,37 - 5,76.",Apa target tingkat pengangguran terbuka (TPT) Sumatra Barat pada tahun 2025?,"5,37% - 5,76%"
"Berdasarkan RKP 2025 target berapa target indeks modal manusia (IMM) Sumatra Barat pada tahun 2025 adalah 0,57.",Berapa target indeks modal manusia (IMM) Sumatra Barat pada tahun 2025?,"0,57"
"Berdasarkan RKP 2025 target berapa target rasio gini di Sumatra Barat pada tahun 2025 adalah 0,274 - 0,279.",Berapa target rasio Gini di Sumatra Barat pada tahun 2025?,"0,274 - 0,279"
"Berdasarkan RKP 2025 target apa target intensitas emisi gas rumah kaca (GRK) di Sumatra Barat pada tahun 2025 adalah 52,62.",Apa target intensitas emisi gas rumah kaca (GRK) di Sumatra Barat pada tahun 2025?,"52,62"
